"59","БАТАЛИН Александр Петрович",,"tmp/batalin/batalin.inc.php"
"60","БАУМ Оттон Матвеевич",,"tmp/baum/baum.inc.php"
"61","БАХМЕТЕВ Алексей Николаевич",,"tmp/bahmetev_a_n/bahmetev_a_n.inc.php"
"62","БАХМЕТЕВ Николай Иванович",,"tmp/bahmetev_n_i/bahmetev_n_i.inc.php"
"63","БАХМЕТЕВ Юрий Алексеевич",,"tmp/bahmetev_yu_a/bahmetev_yu_a.inc.php"
"64","БАХМЕТЕВ Юрий Петрович",,"tmp/bahmetev_yu_p/bahmetev_yu_p.inc.php"
"65","БЕЗОБРАЗОВ Лаврентий Афанасьевич",,"tmp/bezobrazov/bezobrazov.inc.php"
"66","БЕКЕТОВ Алексей Николаевич",,"tmp/beketov_a_n/beketov_a_n.inc.php"
"67","БЕКЕТОВ А. Н.",,"tmp/beketov_andrey_nikolaevich/beketov_andrey_nikolaevich.inc.php"
"68","БЕКЕТОВ Ан. Н",,"tmp/beketov_andrey_nikolaevich/beketov_andrey_nikolaevich.inc.php"
"69","БЕКЕТОВ Николай Николаевич",,"tmp/beketov_n_n/beketov_n_n.inc.php"
"70","БЕКЕТОВ Пётр Алексеевич",,"tmp/beketov_p_a/beketov_p_a.inc.php"
"71","БЕЛИНСКИЙ Виссарион Григорьевич",,"tmp/belinskiy/belinskiy.inc.php"
"72","БЕЛОВ Василий Михайлович",,"tmp/belov_v_m/belov_v_m.inc.php"
"73","БЕЛОВ Евгений Александрович",,"tmp/belov_e_a/belov_e_a.inc.php"
"74","БЕЛУГИНА Олеся Владимировна",,"tmp/belugina/belugina.inc.php"
"75","БЕЛЯЕВ Василий Михайлович",,"tmp/belyaev_v_m/belyaev_v_m.inc.php"
"76","БЕЛЯЕВ Николай Александрович",,"tmp/belyaev_n_a/belyaev_n_a.inc.php"
"77","БЕМ Михаил Антонович",,"tmp/bem/bem.inc.php"
"78","БЕРЁЗКО Сергей Петрович",,"tmp/beryozko/beryozko.inc.php"
"79","БЕРСЕНЁВ Роман Генрихович",,"tmp/bersenyov/bersenyov.inc.php"
"80","БИБИКОВ Виктор Дмитриевич",,"tmp/bibikov/bibikov.inc.php"
"81","БИБИКОВА урожд. АРАПОВА Елизавета Николаевна",,"tmp/bibikova/bibikova.inc.php"
"82","БЛАГОСЛАВОВ Василий Ефимович",,"tmp/blagoslavov/blagoslavov.inc.php"
"83","БОБРОВ Александр Константинович",,"tmp/bobrov/bobrov.inc.php"
"84","де БОВЕ Сара Александровна",,"tmp/bove/bove.inc.php"
"85","БОВИН Александр Иванович",,"tmp/bovin/bovin.inc.php"
"86","БОГДАНОВ Александр Алексеевич",,"tmp/bogdanov/bogdanov.inc.php"
"87","БОГОЛЮБОВ Андрей Андреевич",,"tmp/bogolyubov/bogolyubov.inc.php"
"88","БОГОЯВЛЕНСКИЙ Леонид Константинович",,"tmp/bogoyavlenskiy/bogoyavlenskiy.inc.php"
"89","БОЛДЫРЕВ Василий Георгиевич",,"tmp/boldyrev/boldyrev.inc.php"
"90","БОНДАЛЕТОВ Василий Данилович",,"tmp/bondaletov/bondaletov.inc.php"
"91","БОРИС (ЛЕНТОВСКИЙ)",,"tmp/boris/boris.inc.php"
"92","БОРИСЮК Сергей Константинович",,"tmp/borisyuk/borisyuk.inc.php"
"93","БОЧКАРЕВ Василий Кузьмич",,"tmp/bochkarev_v_k/bochkarev_v_k.inc.php"
"94","БОШ (МАЙШ) Евгения Богдановна",,"tmp/bosh/bosh.inc.php"
"95","БРАТАНОВ Василий Николаевич",,"tmp/bratanov/bratanov.inc.php"
"96","БРЫКИН Александр Евстафьевич",,"tmp/brykin/brykin.inc.php"
"97","БУДИЩЕВ Алексей Николаевич",,"tmp/budischev/budischev.inc.php"
"98","БУДНИКОВ Борис Григорьевич",,"tmp/budnikov/budnikov.inc.php"
"99","БУКИН Василий Николаевич",,"tmp/bukin/bukin.inc.php"
"100","БУРДЕНКО Николай Нилович",,"tmp/burdenko/burdenko.inc.php"
"101","БУРЕНИН Николай Иванович",,"tmp/burenin/burenin.inc.php"
"102","БУРЛУЦКИЙ Яков Петрович",,"tmp/burluckiy/burluckiy.inc.php"
"103","БУРМИСТЕНКО Михаил Алексеевич",,"tmp/burmistenko/burmistenko.inc.php"
"104","БУРМИСТРОВ Юрий Васильевич",,"tmp/burmistrov/burmistrov.inc.php"
"105","БУСЛАЕВ Фёдор Иванович",,"tmp/buslaev/buslaev.inc.php"
"106","БУТЛЕРОВ Владимир Александрович",,"tmp/butlerov/butlerov.inc.php"
"107","БУТУЗОВ Сергей Михайлович",,"tmp/butuzov/butuzov.inc.php"
"108","БЫСТРЕНИНА Инна Владимировна",,"tmp/bystrenina/bystrenina.inc.php"
"109","ВАСИЛЬЕВ А. Ф.",,"tmp/vasilev/vasilev.inc.php"
"110","ВАЗЕРСКИЙ Фёдор Петрович",,"tmp/vazerskiy/vazerskiy.inc.php"
"111","ВАСИЛЬЕВА (НЕСТЮК) Татьяна Алексеевна",,"tmp/vasileva/vasileva.inc.php"
"112","ВАХРАМЕЕВ Александр Иванович",,"tmp/vahrameev/vahrameev.inc.php"
"113","ВЕРНЕР Виталий Дмитриевич",,"tmp/verner/verner.inc.php"
"114","ВИГЕЛЬ Филипп Лаврентьевич",,"tmp/vigel_f_l/vigel_f_l.inc.php"
"115","ВИШНЕВСКИЙ Анатолий Николаевич",,"tmp/vishnevskiy_a_n/vishnevskiy_a_n.inc.php"
"116","ВИШНЕВСКИЙ Иван Васильевич",,"tmp/vishnevskiy_i_v/vishnevskiy_i_v.inc.php"
"117","ВИШНЕВСКИЙ Кирилл Дмитриевич",,"tmp/vishnevskiy_k_d/vishnevskiy_k_d.inc.php"
"118","ВЛАДИМИР (ПУТЯТА)",,"tmp/vladimir/vladimir.inc.php"
"119","ВЛАДИМИРОВ Владимир Дмитриевич",,"tmp/vladimirov/vladimirov.inc.php"
"120","ВЛАДЫКИН Леонид Иванович",,"tmp/vladykin/vladykin.inc.php"
"121","ВОЕВОДИН Алексей Николаевич",,"tmp/voevodin/voevodin.inc.php"
"122","ВОЕЙКОВ Владимир Николаевич",,"tmp/voeykov/voeykov.inc.php"
"123","ВОЙДЕНОВ Василий Петрович",,"tmp/voydenov/voydenov.inc.php"
"124","ВОЙНАРАЛЬСКИЙ Порфирий Иванович",,"tmp/voynaralskiy/voynaralskiy.inc.php"
"125","ВОЙЦЕХОВИЧ Алексей Иванович",,"tmp/voycehovich_a_i/voycehovich_a_i.inc.php"
"126","ВОЙЦЕХОВИЧ Иван Андреевич",,"tmp/voycehovich_i_a/voycehovich_i_a.inc.php"
"127","ВОЛЖИН Валериан Александрович",,"tmp/volzhin/volzhin.inc.php"
"128","ВОЛКОВ Аполлон Николаевич",,"tmp/volkov_a_n/volkov_a_n.inc.php"
